ID_STA,ARRONDISSEMENT,NBR_PLA,X,Y,JURIDICTION,EMPLACEMENT,LOCATION,HEURES,HOURS,BOROUGH,Note_FR,Note_EN,Longitude,Latitude
12,Outremont,19,297242,5041977.0224701,Municipale,"Ouest du 451, av. Edouard-Charles","West of 451, av. Edouard-Charles",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.5967414132,45.5176712068
13,Outremont,10,297156,5042026.0172003,Municipale,"Sud du 5126, av. Durocher","South of 5126, av. Durocher",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.5978429644,45.5181111431
14,Saint-Léonard,40,298223,5050187.0150954,Municipale,Côté sud à l'ouest du Boul. Langelier,"South side, West of Boul. Langelier",18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5842951324,45.5915574468
15,Saint-Léonard,84,297474,5049141.0141103,Municipale,Côté nord à l'ouest de la rue Du Cap,"North side, West of rue Du Cap",18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5938791032,45.5821377445
16,Saint-Léonard,32,298232,5048974.0179879,Municipale,Rue De Lisieux,Rue De Lisieux,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5841634703,45.5806426332
17,Saint-Léonard,50,298268,5049103.0204423,Municipale,Boul. Lacordaire et rue Jean-Talon,Boul. Lacordaire and rue Jean-Talon,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5837038855,45.5818037745
18,Saint-Léonard,100,297318,5049643.0225762,Municipale,Boul. Lacordaire entre Des Galets et Robert,Boul. Lacordaire between Des Galets and Robert,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5958858538,45.5866533014
19,Saint-Léonard,49,297553,5049464.0152941,Municipale,Par boul. Lacordaire ou par la rue Collerette,By boul. Lacordaire or rue Collerette,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.5928715503,45.5850450306
20,Saint-Léonard,31,296640,5050129.0194963,Municipale,Entre les boul. Lacordaire et Viau,Between boul. Lacordaire and Viau,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.6045828955,45.5910188141
21,Saint-Léonard,16,296083,5049305.0199441,Municipale,Côté est au sud du boul. Lavoisier,"East side, North of boul. Lavoisier",18h à 7h,6 p.m to 7 a.m,Saint-Léonard,,,-73.6117069824,45.5835974771
